L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.628926,0.836563,0.840168,0.823058,0.888503,1.09885,1.094071,1.062056,0.561139,0.536024,0.584897,0.637451,0.439656,0.42632,0.387726,0.343356,0.084545,0.058607,0.066391,0.047475,0.090076,0.072617,0.079657,0.056256
0.626188,0.833782,0.837441,0.82021,0.894769,1.105314,1.100358,1.068544,0.561084,0.535987,0.584859,0.637403,0.439213,0.425575,0.386982,0.342608,0.084644,0.058504,0.066384,0.04747,0.088984,0.073667,0.080652,0.057093
0.62327,0.830821,0.834532,0.817181,0.901406,1.112139,1.106999,1.075402,0.561024,0.53595,0.584821,0.637356,0.438775,0.42483,0.386238,0.341866,0.08475,0.0584,0.066376,0.047465,0.087882,0.074838,0.08175,0.058004
0.62019,0.827697,0.831457,0.813991,0.908358,1.119264,1.113935,1.082572,0.560962,0.535914,0.584784,0.637311,0.438352,0.424102,0.385513,0.341151,0.084864,0.058298,0.066367,0.047459,0.086792,0.076135,0.082954,0.058986
0.616968,0.824431,0.828239,0.810662,0.915562,1.12662,1.121102,1.089989,0.560897,0.535879,0.584747,0.637268,0.437955,0.42341,0.384825,0.340482,0.084987,0.058198,0.066355,0.047454,0.085738,0.077561,0.084263,0.060038
0.613626,0.821047,0.824896,0.807217,0.922952,1.134135,1.12843,1.097583,0.56083,0.535846,0.584712,0.637229,0.43759,0.422772,0.384192,0.339879,0.085117,0.058104,0.066342,0.047448,0.084739,0.079115,0.085676,0.061153
0.610186,0.817564,0.821451,0.803677,0.930459,1.141738,1.135853,1.105291,0.560764,0.535816,0.584679,0.637194,0.437265,0.422206,0.383628,0.339358,0.085255,0.058014,0.066325,0.04744,0.083816,0.080792,0.087186,0.062326
0.606666,0.814003,0.817923,0.800062,0.93802,1.149361,1.143308,1.113049,0.560699,0.535788,0.584648,0.637162,0.436983,0.421726,0.383148,0.338933,0.085401,0.057931,0.066306,0.047431,0.082981,0.082586,0.088788,0.06355
0.603086,0.810381,0.814329,0.796391,0.945574,1.156941,1.150738,1.120802,0.560637,0.535764,0.584621,0.637134,0.436745,0.421346,0.382763,0.338618,0.085555,0.057853,0.066283,0.04742,0.082246,0.084488,0.090473,0.064817
0.599461,0.806716,0.810687,0.792678,0.953065,1.164422,1.158092,1.128498,0.560581,0.535744,0.584598,0.637109,0.43655,0.421074,0.382481,0.338418,0.085718,0.057783,0.066255,0.047405,0.08162,0.086486,0.092233,0.06612
