L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
1.061608,1.261347,1.265381,1.242394,0.942907,1.156552,1.156775,1.131886,0.592047,0.576304,0.625226,0.67255,0.472532,0.494939,0.456072,0.40379,0.12692,0.079179,0.085344,0.058877,0.081421,0.058415,0.064564,0.049825
1.070414,1.270879,1.27499,1.252598,0.939756,1.15336,1.153579,1.128698,0.592744,0.576411,0.62532,0.672806,0.472571,0.494938,0.456072,0.403784,0.123416,0.078773,0.08515,0.058453,0.081457,0.058401,0.064506,0.049801
1.079238,1.280362,1.28454,1.262726,0.936608,1.150161,1.150388,1.125511,0.593405,0.576509,0.625404,0.673051,0.472613,0.494948,0.456074,0.40378,0.120061,0.078443,0.085037,0.058126,0.081497,0.058375,0.064451,0.049777
1.088069,1.289787,1.294026,1.272769,0.933463,1.146957,1.147201,1.122326,0.594027,0.576596,0.625474,0.67328,0.472658,0.49497,0.456078,0.403779,0.116859,0.078196,0.085011,0.057896,0.081541,0.058335,0.064399,0.049754
1.096895,1.299145,1.303438,1.282717,0.93032,1.14375,1.144018,1.119142,0.594606,0.576669,0.625527,0.673488,0.472706,0.495,0.456085,0.403779,0.113815,0.078037,0.085076,0.057765,0.081591,0.058285,0.064349,0.049731
1.105702,1.308426,1.312768,1.292561,0.92718,1.140543,1.14084,1.115959,0.595138,0.576726,0.625558,0.673672,0.472757,0.495038,0.456095,0.403781,0.110931,0.07797,0.085236,0.057734,0.081645,0.058227,0.064302,0.049707
1.114476,1.317619,1.322005,1.302291,0.924044,1.137339,1.137665,1.112777,0.595622,0.576761,0.625565,0.673827,0.47281,0.49508,0.456106,0.403783,0.10821,0.077998,0.085492,0.057803,0.081706,0.058162,0.064255,0.049681
1.1232,1.326712,1.331138,1.311896,0.920912,1.13414,1.134495,1.109596,0.596056,0.576771,0.625541,0.673946,0.472865,0.495125,0.456118,0.403785,0.105654,0.078122,0.085847,0.057973,0.081773,0.058093,0.064209,0.049655
1.131856,1.335689,1.340155,1.321366,0.917784,1.130946,1.131329,1.106416,0.596441,0.576751,0.625483,0.674028,0.472921,0.495169,0.456131,0.403786,0.103264,0.078344,0.086299,0.058243,0.081847,0.058021,0.064163,0.049627
1.140426,1.344537,1.34904,1.330687,0.91466,1.12776,1.128167,1.103237,0.596775,0.576697,0.625387,0.674066,0.472978,0.495213,0.456145,0.403786,0.10104,0.078665,0.086846,0.058611,0.081929,0.057947,0.064116,0.049597
1.148889,1.353238,1.35778,1.339846,0.911542,1.124582,1.125009,1.100059,0.597061,0.576605,0.625249,0.674057,0.473035,0.495255,0.456159,0.403783,0.098981,0.079082,0.087485,0.059073,0.08202,0.057872,0.064068,0.049564
1.157227,1.361775,1.366356,1.34883,0.908428,1.121413,1.121855,1.096883,0.5973,0.576472,0.625067,0.673998,0.473092,0.495294,0.456173,0.403779,0.097085,0.079595,0.088212,0.059624,0.08212,0.057797,0.064019,0.049531
1.165419,1.37013,1.37475,1.357622,0.90532,1.118252,1.118706,1.093707,0.597494,0.576294,0.624839,0.673886,0.473149,0.49533,0.456187,0.403772,0.09535,0.080201,0.089019,0.060258,0.082231,0.057722,0.063968,0.049496
1.173442,1.378285,1.382943,1.366207,0.902218,1.1151,1.115561,1.090534,0.597645,0.576071,0.624565,0.673719,0.473205,0.495362,0.456201,0.403764,0.093771,0.080898,0.0899,0.060967,0.082352,0.057647,0.063915,0.049459
1.181276,1.386218,1.390914,1.374568,0.899121,1.111956,1.11242,1.087362,0.597757,0.575801,0.624246,0.673496,0.473259,0.495389,0.456214,0.403754,0.092342,0.081684,0.090844,0.061744,0.082485,0.057573,0.063861,0.049422
1.188899,1.393912,1.398641,1.382688,0.89603,1.108821,1.109283,1.084194,0.597833,0.575482,0.623883,0.673215,0.473312,0.495412,0.456226,0.403744,0.091055,0.082555,0.091845,0.062579,0.082631,0.057501,0.063804,0.049384
1.196289,1.401345,1.406105,1.390548,0.892945,1.105694,1.106151,1.081028,0.597875,0.575116,0.623477,0.672877,0.473362,0.495429,0.456236,0.403736,0.089901,0.083508,0.092894,0.063463,0.08279,0.057431,0.063745,0.049346
1.203425,1.408499,1.413286,1.398133,0.889866,1.102573,1.103023,1.077865,0.597886,0.574702,0.623031,0.672482,0.473408,0.495442,0.456246,0.403728,0.088869,0.084539,0.093984,0.064388,0.082963,0.057364,0.063684,0.049308
1.210286,1.415353,1.420164,1.405423,0.886793,1.099458,1.0999,1.074706,0.597871,0.574243,0.622547,0.672031,0.47345,0.495451,0.456253,0.403723,0.087948,0.08564,0.095106,0.065344,0.083151,0.057299,0.063621,0.04927
1.216852,1.421889,1.426723,1.412402,0.883727,1.096349,1.096782,1.07155,0.597831,0.573741,0.622027,0.671527,0.473488,0.495455,0.456258,0.403721,0.087125,0.086805,0.096255,0.06632,0.083354,0.057236,0.063557,0.049233
1.223103,1.42809,1.432946,1.419052,0.880667,1.093244,1.093669,1.068398,0.597769,0.573197,0.621474,0.670971,0.473521,0.495456,0.456262,0.403722,0.086387,0.088023,0.09742,0.067305,0.083573,0.057176,0.063491,0.049196
1.229022,1.433938,1.438817,1.425356,0.877613,1.090142,1.09056,1.06525,0.597686,0.572614,0.620891,0.670367,0.473547,0.495453,0.456263,0.403726,0.085721,0.089285,0.098591,0.068286,0.083809,0.057117,0.063423,0.04916
1.234592,1.439419,1.444323,1.431299,0.874566,1.087043,1.087456,1.062106,0.597582,0.571997,0.62028,0.669717,0.473567,0.495447,0.456261,0.403732,0.085115,0.090574,0.099759,0.069251,0.084061,0.057059,0.063355,0.049126
1.239797,1.444519,1.449451,1.436865,0.871525,1.083947,1.084355,1.058965,0.59746,0.571349,0.619644,0.669027,0.47358,0.495438,0.456257,0.40374,0.084558,0.091876,0.100908,0.070184,0.084332,0.057003,0.063287,0.049092
1.244624,1.449227,1.45419,1.442039,0.868491,1.080852,1.081258,1.055829,0.597318,0.570674,0.618987,0.668298,0.473585,0.495426,0.45625,0.403749,0.084041,0.093172,0.102025,0.071072,0.084621,0.056948,0.063219,0.04906
1.249058,1.453531,1.458532,1.446808,0.865463,1.077758,1.078164,1.052696,0.597156,0.569976,0.618311,0.667536,0.473582,0.495412,0.456239,0.403758,0.083553,0.094443,0.103094,0.071898,0.08493,0.056893,0.063151,0.049028
1.253091,1.457424,1.462468,1.45116,0.862441,1.074664,1.075073,1.049568,0.596974,0.569257,0.617617,0.666744,0.47357,0.495394,0.456225,0.403768,0.083089,0.095668,0.104097,0.072647,0.085258,0.05684,0.063084,0.048998
1.25671,1.460899,1.465993,1.455084,0.859426,1.071571,1.071984,1.046444,0.596772,0.568521,0.616908,0.665926,0.473548,0.495374,0.456208,0.403775,0.082642,0.096825,0.105017,0.073305,0.085608,0.056787,0.063017,0.048969
1.259908,1.463951,1.469101,1.458571,0.856416,1.068478,1.068898,1.043326,0.596547,0.56777,0.616185,0.665086,0.473517,0.495352,0.456187,0.403781,0.082207,0.097893,0.105837,0.073858,0.085979,0.056734,0.062951,0.04894
1.262679,1.466576,1.471791,1.461615,0.853413,1.065385,1.065814,1.040211,0.596299,0.567005,0.61545,0.664227,0.473475,0.495327,0.456162,0.403784,0.081782,0.09885,0.106541,0.074293,0.086372,0.056682,0.062886,0.048912
1.26502,1.468773,1.474061,1.464211,0.850416,1.062291,1.062732,1.037101,0.596025,0.566227,0.614702,0.663352,0.473424,0.495301,0.456134,0.403784,0.081365,0.099676,0.107113,0.074599,0.086787,0.056631,0.062822,0.048884
1.266928,1.470543,1.475911,1.466355,0.847425,1.059197,1.059651,1.033993,0.595723,0.565438,0.613941,0.662463,0.473362,0.495272,0.456103,0.403781,0.080955,0.100353,0.107538,0.07477,0.087225,0.056582,0.062759,0.048855
1.268406,1.471888,1.477346,1.46805,0.84444,1.056104,1.056573,1.030887,0.595393,0.564635,0.613166,0.661564,0.47329,0.495242,0.456069,0.403775,0.080552,0.100863,0.107807,0.074797,0.087685,0.056534,0.062696,0.048825
1.269456,1.472814,1.478369,1.469297,0.841461,1.05301,1.053495,1.027783,0.595034,0.563817,0.612375,0.660655,0.473207,0.495208,0.45603,0.403766,0.08016,0.101194,0.10791,0.074679,0.088168,0.056489,0.062636,0.048794
1.270087,1.473328,1.47899,1.470106,0.838489,1.049916,1.05042,1.024679,0.594647,0.562984,0.611567,0.659737,0.473115,0.495173,0.455988,0.403753,0.079781,0.101334,0.10784,0.074414,0.088675,0.056447,0.062577,0.048763
1.270307,1.473442,1.479218,1.470485,0.835523,1.046823,1.047346,1.021576,0.594233,0.562132,0.610738,0.658812,0.473012,0.495134,0.455943,0.403736,0.079418,0.101277,0.107596,0.074006,0.089205,0.056409,0.06252,0.04873
1.270131,1.473168,1.479067,1.470449,0.832564,1.043731,1.044273,1.018473,0.593794,0.56126,0.609885,0.657879,0.472898,0.495093,0.455894,0.403715,0.079076,0.101018,0.107178,0.073459,0.089759,0.056375,0.062466,0.048696
1.269576,1.472523,1.478556,1.470018,0.829611,1.04064,1.041203,1.015369,0.593333,0.560365,0.609007,0.656939,0.472775,0.495049,0.45584,0.40369,0.078759,0.100559,0.106589,0.072783,0.090336,0.056346,0.062414,0.04866
1.268664,1.47153,1.477704,1.469214,0.826666,1.03755,1.038135,1.012266,0.592854,0.559446,0.608099,0.655992,0.472641,0.495002,0.455783,0.403661,0.078471,0.099902,0.105838,0.071987,0.090936,0.056322,0.062365,0.048623
1.267421,1.470211,1.476536,1.468063,0.823727,1.034463,1.03507,1.009162,0.592359,0.558501,0.607162,0.65504,0.472498,0.494952,0.455722,0.403627,0.078216,0.099057,0.104935,0.071086,0.091562,0.056304,0.062319,0.048585
1.265875,1.468594,1.475082,1.466599,0.820797,1.031378,1.032008,1.006059,0.591853,0.557531,0.606195,0.654082,0.472344,0.494898,0.455655,0.403588,0.077996,0.098035,0.103894,0.070094,0.092212,0.056294,0.062276,0.048545
1.26406,1.466712,1.473371,1.464853,0.817875,1.028296,1.02895,1.002956,0.591339,0.556536,0.605199,0.653121,0.472181,0.49484,0.455584,0.403545,0.077811,0.096853,0.10273,0.069027,0.092887,0.056292,0.062236,0.048504
1.262013,1.464598,1.471438,1.462866,0.814963,1.025218,1.025897,0.999855,0.590821,0.555521,0.604177,0.652159,0.472009,0.494778,0.455507,0.403497,0.077663,0.095531,0.101461,0.067902,0.09359,0.056298,0.0622,0.048461
